ad_link,title,price,description,mileage,transmission,location,time_posted
https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2022-audi-e-tron-promo-progressiv-driver-assist/m7861044,2022 Audi E-TRON **PROMO** PROGRESSIV DRIVER ASSIST,"$60,995","VUS 2022 AUDI E-TRON 55 QUATTRO PROGRESSIV, 21 PCS, DRIVER ASSISTANCE PACK, 2ND PORT CHARGING, ORANGE CALIPER. AUCUN FRAIS CACHÉS, PIÈCES D’ORIGINES SEULEMENT, UNE TRANSACTION CLÉ EN MAIN. LA ...","30,859 km",Automatic,Laval,
https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-hyundai-ioniq-6-preferred-awd-electric/m9077536,2023 Hyundai IONIQ 6 Preferred | AWD | Electric,"$41,453",The price you see is the financed price only. Visit our website to view the cash purchase price. Come be a part of the 401 Dixie Hyundai Used Vehicle Experience! We have one of the largest selections ...,"35,679 km",Automatic,Mississauga,
https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2023-hyundai-ioniq-6-preferred-awd-electric/m8882459,2023 Hyundai IONIQ 6 Preferred | AWD | Electric,"$50,493",The price you see is the financed price only. Visit our website to view the cash purchase price. Come be a part of the 401 Dixie Hyundai Used Vehicle Experience! We have one of the largest selections ...,"11,112 km",Automatic,Mississauga,
https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2020-tesla-model-3-long-range-awd-autopilot-dual-motor/m5177145,2020 Tesla MODEL 3 Long Range AWD AUTOPILOT DUAL MOTOR,"$38,995",2020 TESLA MODEL 3 LONG RANGE AWD AUTOPILOT DUAL MOTOR CLEAN CARFAX SEULEMENT 74920KM BLANC PERLE/BLANC INTERIEUR CUIR SIEGES ELECTRIQUES ET CHAUFFANTS SYSTEME DE NAVIGATION CAMERAS DE RECULE 360* ...,"74,920 km",Automatic,Longueuil,
https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2024-mercedes-benz-esprinter-170-wheelbase-high-roof-rwd/m8963952,2024 Mercedes-Benz ESprinter 170 Wheelbase High Roof RWD,"$117,725",Engine: 0L L/100Km City: 0.0 L/100Km Hwy: 0.0,90 km,Automatic,Laval,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-blazer-ev-rs/m8641536,2024 Chevrolet Blazer EV RS,"$61,097",2024 Chevrolet Blazer EV RS: Unleash Blacked-Out Electric Style The 2024 Chevrolet Blazer EV RS in Black is the embodiment of electric power and stealthy sophistication. This head-turning SUV merges ...,10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/medicine-hat/2025-jeep-grand-cherokee-4xe-4x4-for-sale/m9453712,2025 Jeep Grand Cherokee 4xe 4x4 for sale,"$63,310","City Chrysler holds a high standard of service & excellence for our customers. We are located on the northside of highway 3 of Medicine Hat. Servicing areas from Swift Current to Lethbridge, Brooks & ...",10 km,Automatic,Medicine Hat,
https://www.kijiji.ca/v-cars-trucks/medicine-hat/2023-jeep-grand-cherokee-4xe-summit-reserve-4x4-for-sale/m9453708,2023 Jeep Grand Cherokee 4xe Summit Reserve 4x4 for sale,"$85,038",Palermo leather faced seats Summit Reserve Second row ventilated rear seats Black deluxe headliner Nappa reserve door trim Active noise control system 19 speaker McIntosh audio system 950 watt ...,575 km,Automatic,Medicine Hat,
https://www.kijiji.ca/v-cars-trucks/medicine-hat/2024-jeep-wrangler-4xe-willys-4-door-4x4-for-sale/m9453652,2024 Jeep Wrangler 4xe Willys 4 Door 4x4 for sale,"$61,670","City Chrysler holds a high standard of service & excellence for our customers. We are located on the northside of highway 3 of Medicine Hat. Servicing areas from Swift Current to Lethbridge, Brooks & ...",30 km,Automatic,Medicine Hat,
https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2016-nissan-leaf/m9547853,2016 Nissan Leaf,"$9,740","Driver Air Bag,Passenger Air Bag,Front Side Air Bag,Front Head Air Bag,Rear Head Air Bag,Climate Control,A/C,Security System,AM/FM Stereo,CD Player,ABS,4-Wheel Disc Brakes,Cruise Control,Rear ...","88,150 km",Automatic,Montreal,
https://www.kijiji.ca/v-cars-trucks/mississauga-peel-region/2017-nissan-leaf-s-certified-with-3-years-warranty-included/m9208927,2017 Nissan Leaf S CERTIFIED WITH 3 YEARS WARRANTY INCLUDED.,"$9,490",Anti-Lock Brakes;Driver Air Bag;Passenger Air Bag;Security System;Side Air Bag;Traction Control;Heated Mirrors;Power Mirrors;Power Windows;Rear Window Defrost;Tinted Glass;Air Conditioning;Cruise ...,"100,359 km",Automatic,Woodbridge,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-nissan-ariya-engage-fwd/m9176929,2024 Nissan Ariya Engage FWD,"$53,753",AMVIC Licensed Dealer,1 km,Automatic,Calgary,
https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2024-audi-q4-e-tron-sportback/m8585208,2024 Audi Q4 e-tron Sportback,"$84,090",50 QUATTRO Engine: N/D,33 km,Automatic,Laval,
https://www.kijiji.ca/v-cars-trucks/windsor-area-on/2022-ford-mustang-mach-e-premium-glass-roof-one-pedal-drive/m9389290,2022 Ford Mustang Mach-E Premium | Glass Roof | One Pedal Drive,"$35,946","Recent Arrival! Blue 2022 Ford Mustang Mach-E Premium RWD Single-Speed Automatic Dual Electric Motor Leather, Clean Carfax, Ford Co-Pilot 360, 360 camera, 91KWH usable exterior battery, Active Park ...","90,074 km",Automatic,Windsor,
https://www.kijiji.ca/v-cars-trucks/brantford/2017-kia-soul-ev-plug-in-electric/m8784397,2017 Kia Soul EV Plug In Electric,"$16,499",Advertised pricing is based on the purchase being financed through Brantford Honda. Cash prices are higher. Speak to a Sales representative for detailed options. This Kia Soul EV has a strong ...,"13,359 km",Automatic,Brantford,
https://www.kijiji.ca/v-cars-trucks/winnipeg/2024-cadillac-lyriq-sport-ev-awd-adaptive-cruise/m8650159,2024 Cadillac LYRIQ Sport EV AWD | Adaptive Cruise,"$80,867","This Cadillac LYRIQ has a strong Electric engine powering this Automatic transmission. *Get Your Money's Worth for this Cadillac LYRIQ with These Options * RADIANT RED TINTCOAT, PROPULSION, ELECTRIC, ...",439 km,Automatic,Winnipeg,
https://www.kijiji.ca/v-cars-trucks/winnipeg/2024-cadillac-lyriq-tech-ev-awd-lane-keep-assist-heated-seats/m7885240,2024 Cadillac LYRIQ Tech EV AWD Lane Keep Assist | Heated Seats,"$72,363","Includes Charger + Installation ($1,500 Value) *Get Your Money's Worth for this Cadillac LYRIQ with These Options * LPO, FLOOR LINER PACKAGE includes (CAV) All-weather integrated cargo liner, LPO and ...",351 km,Automatic,Winnipeg,
https://www.kijiji.ca/v-cars-trucks/winnipeg/2024-cadillac-lyriq-tech-ev-awd-heated-seat-lane-keep/m8758254,2024 Cadillac LYRIQ Tech EV AWD | Heated Seat | Lane Keep,"$74,892","PROPULSION ELECTRIC AWD,NIMBUS METALLIC,Rear Wheel Drive,Keyless Start,4-Wheel Disc Brakes,Aluminum Wheels,Nickel Cobalt Manganese Traction Battery,Traction Control,Power Driver Seat,Bluetooth ...",48 km,Automatic,Winnipeg,
https://www.kijiji.ca/v-cars-trucks/abbotsford/2021-tesla-model-y-standard-range-sunroof-navigation/m9165400,2021 Tesla Model Y Standard Range | Sunroof | Navigation,"$43,996","This Tesla Model Y delivers a Electric engine powering this Automatic transmission. Window Grid Antenna, Valet Function, Trip Computer. * This Tesla Model Y Features the Following Options * ...","55,536 km",Automatic,Abbotsford,
https://www.kijiji.ca/v-cars-trucks/abbotsford/2020-tesla-model-3-standard-range-plus-wireless-charging/m9391797,2020 Tesla Model 3 Standard Range Plus | Wireless Charging,"$31,993","This Tesla Model 3 boasts a Electric engine powering this Automatic transmission. Window Grid Antenna, Wheels: 18 x 8.5 Aero, Variable Intermittent Wipers. *This Tesla Model 3 Comes Equipped with ...","95,423 km",Automatic,Abbotsford,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-equinox-ev-rs/m8641524,2024 Chevrolet Equinox EV RS,"$52,002",2024 Chevrolet Equinox EV 2RS: Strike a Balance in Sterling Grey Metallic The 2024 Chevrolet Equinox EV 2RS in Sterling Grey Metallic is the embodiment of electric sophistication. This SUV seamlessly ...,10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/chilliwack/2021-tesla-model-3-performance-awd-bc-only-adaptive-cruise/m8983115,2021 Tesla Model 3 PERFORMANCE AWD | BC ONLY | ADAPTIVE CRUISE,"$46,764","This Tesla Model 3 boasts a Electric engine powering this Automatic transmission. Window Grid Antenna, Wheels: 20 x 8.5 Uberturbine, Valet Function. * This Tesla Model 3 Features the Following ...","70,501 km",Automatic,Chilliwack,
https://www.kijiji.ca/v-cars-trucks/laurentides/2022-kia-niro-ev-ex-pompe-a-chaleur-385-km-autonomie-ici-pas/m8496567,"2022 Kia Niro EV EX+, POMPE À CHALEUR, 385 KM AUTONOMIE ICI PAS","$28,595","KIA NIRO EV EX+ 2022, POMPE À CHALEUR + SYSTÈME DE CHAUFFAGE DE LA BATTERIE + VOLANT CHAUFFANT + SIÈGES CHAUFFANTS - TAUX CERTIFIER A PARTIR DE 6.99%, 1 PROPRIÉTAIRE, ÉCHANGE, ANDROID AUTO/APPLE ...","54,646 km",Automatic,Mirabel,
https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2022-tesla-model-3-2022-tesla-3-performance-180-sem-dua/m8245202,2022 Tesla MODEL 3 2022 TESLA 3 PERFORMANCE  *  180$/SEM  *  DUA,"$53,995","****2022 TESLA MODEL 3 PERFORMANCE 42 000KM(CERTIFIÉ)****VOITURE IMPECCABLE. TOUT ÉQUIPÉ, DUAL MOTOR, AWD(4X4), CUIR, BLUETOOTH, TOIT DE VERRE, CAMÉRA DE RECUL, SIÈGES ELECTRIQUE, PORTES ÉLECTRIQUE, ...","42,000 km",Automatic,Lemoyne,
https://www.kijiji.ca/v-cars-trucks/laval-rive-nord/2021-mini-3-portes-cooper-se-premier-line-toit-pano/m9392543,"2021 MINI 3 Portes Cooper SE, Premier Line, Toit Pano","$21,449","2021 MINI 3 Portes Cooper SE, Premier Line, Toit Pano! * Premier Line * Toit ouvrant panoramique * Système audio Harman/Kardon* Aide au stationnement * Sièges sport * - Power Fold Side Mirrors - ...","77,525 km",Automatic,Laval,
https://www.kijiji.ca/v-cars-trucks/edmonton/2024-audi-q8-e-tron-sportback/m8033348,2024 Audi Q8 e-tron Sportback,"$85,900","2024 Audi Q8 e-tron quattro Audi smartphone interface (Apple CarPlay/Android Auto), Emergency communication system: Audi connect Security and Assistance, Exterior Parking Camera Rear, Garage door ...","8,789 km",Automatic,Edmonton,
https://www.kijiji.ca/v-cars-trucks/longueuil-rive-sud/2022-volvo-c40-recharge-pure-electric-ultimate-twin-electrique/m9249560,2022 Volvo C40 Recharge Pure Electric Ultimate TWIN | ÉLECTRIQUE,"$51,888","VÉHICULE D'OCCASION CERTIFIÉ - GARANTIE 5 ANS / KILOMÉTRAGE ILLIMITÉ TAUX D’INTÉRÊT À PARTIR DE 3,99% VOLVO C40 RECHARGE ULTIMATE TWIN 2022 - BLEU FJORD AVEC INTÉRIEUR ANTHRACITE AUTONOMIE DE 359KM ! ...","18,371 km",Automatic,Brossard,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-blazer-ev-2lt/m8367684,2024 Chevrolet Blazer EV 2LT,"$54,097","The 2024 Chevrolet Blazer EV 2LT is an all-electric luxury SUV that offers advanced technology, impressive performance, and sleek styling. The exterior of the 2024 Blazer 2LT is characterized by ...",10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2024-mercedes-benz-eqe-eqe-350-4matic/m9156013,2024 Mercedes-Benz EQE EQE 350 4MATIC,"$119,433",Ensemble De Garnitures Exclusives Groupe Extérieur AMG Line Rear-axle steering 10 degrees Attelage De Remorque (Catégorie Ii) Pare-Brise Chauffant Pneus Toutes Saisons Pneus Doublés De Mousse Pour ...,90 km,Automatic,Montreal,
https://www.kijiji.ca/v-cars-trucks/saskatoon/2018-tesla-model-3-long-range-awd-accleration-boost-full-self-d/m9370897,2018 Tesla Model 3 Long Range AWD- ACCLERATION BOOST|FULL Self D,"$38,995","CARGET AUTOMOTIVE is proud to present this 2018 TESLA Model 3 AWD Dual Motor that comes fully serviced with a 130 Point inspection, CARFAX AVAILABLE and No payments for 90 days O.A.C TESLA FACTORY ...","72,766 km",Automatic,Saskatoon,
https://www.kijiji.ca/v-cars-trucks/guelph/2024-kia-ev6-land-awd-nav-safety-tech-12-3-screen/m9015254,2024 Kia EV6 Land AWD | Nav | Safety Tech | 12.3 Screen,"$59,997","Recent Arrival! Check out this gorgeous 2024 Kia EV6 Land AWD. This EV6 is fully electric and will give you sports car feels! Very well equipped with Heated Seats, Heated Steering Wheel, 12.3 ...","8,230 km",Automatic,Guelph,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-blazer-ev-2lt/m8367682,2024 Chevrolet Blazer EV 2LT,"$54,692","The 2024 Chevrolet Blazer EV 2LT is an all-electric luxury SUV that offers advanced technology, impressive performance, and sleek styling. The exterior of the 2024 Blazer EV 2LT is characterized by ...",10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/grande-prairie/2024-gmc-hummer-ev-suv-2x-0-financing-up-to-60-months-oac/m8359504,2024 GMC HUMMER EV SUV 2X 0% Financing up to 60 Months OAC,"$128,172",Engine: 0L L/100Km City: 4.2 L/100Km Hwy: 5.1,500 km,Automatic,Grande Prairie,
https://www.kijiji.ca/v-cars-trucks/grande-prairie/2024-gmc-hummer-ev-suv-3x-0-financing-up-to-60-months-oac/m8573125,2024 GMC HUMMER EV SUV 3X 0% Financing up to 60 Months OAC,"$165,422",Engine: 0L L/100Km City: 4.0 L/100Km Hwy: 4.9,500 km,Automatic,Grande Prairie,
https://www.kijiji.ca/v-cars-trucks/grande-prairie/2024-gmc-hummer-ev-pickup-3x-0-financing-up-to-60-months-oac/m8705576,2024 GMC HUMMER EV Pickup 3X 0% Financing up to 60 Months OAC,"$178,922",Engine: 0L,500 km,Automatic,Grande Prairie,
https://www.kijiji.ca/v-cars-trucks/grande-prairie/2024-gmc-hummer-ev-pickup-2x-0-financing-up-to-60-months-oac/m8428822,2024 GMC HUMMER EV Pickup 2X 0% Financing up to 60 Months OAC,"$128,127",Engine: 0L L/100Km City: 4.1 L/100Km Hwy: 5.1,500 km,Automatic,Grande Prairie,
https://www.kijiji.ca/v-cars-trucks/tricities-pitt-maple/2023-tesla-model-3-black-leather-glass-roof-autopilot/m9255812,2023 Tesla Model 3 | Black Leather | Glass Roof | Autopilot,"$42,795","This Tesla Model 3 delivers a Electric engine powering this Automatic transmission. Window Grid Antenna, Valet Function, Trip Computer. *This Tesla Model 3 Comes Equipped with These Options * ...","33,918 km",Automatic,Pitt Meadows,
https://www.kijiji.ca/v-cars-trucks/ottawa/2023-bmw-i4-edrive35/m9145092,2023 BMW i4 eDrive35,"$50,995",417 Nissan offer no hassle buying experience. We check and adjust our prices daily to make sure that our vehicles are priced to the market. Free Carfax report with every vehicle purchase. We are ...,"24,656 km",Automatic,Ottawa,
https://www.kijiji.ca/v-cars-trucks/markham-york-region/2020-tesla-model-x-loaded-long-range-edition-5-passenger-398-kw/m7293946,2020 Tesla Model X LOADED LONG-RANGE-EDITION 5 PASSENGER 398-kW-,"$69,995",398 - kW - ELECTRIC DUAL MOTOR WITH ION BATTERY ALL-WHEEL DRIVE SYSTEM LEATHER INTERIOR HEATED FRONT SEATS HEATED STEERING WHEEL TOUCH SCREEN DISPLAY NAVIGATION SYSTEM AM/FM RADIO PLAYER USB ...,"71,000 km",Automatic,Bradford,
https://www.kijiji.ca/v-cars-trucks/guelph/2023-chevrolet-bolt-euv-lt-rue-north-leather-cooled/m9479690,"2023 Chevrolet Bolt EUV LT rue North, Leather, Cooled +","$32,988","Come see this certified 2023 Chevrolet Bolt EUV LT rue North, Leather, Cooled + Heated Seats, Heated Steering, CarPlay + Android, Rear Camera . Its Automatic transmission and engine will keep you ...","20,913 km",Automatic,Guelph,
https://www.kijiji.ca/v-cars-trucks/saskatoon/2024-hyundai-kona-electric-ultimate-leather-remote-start/m9257095,2024 Hyundai Kona Electric Ultimate | Leather | Remote Start,"$38,989","Saskatoon Motor Products - Recent Arrival! 2024 Hyundai Kona Electric Ultimate - Certified. Certification Program Details: GM Certified 3 month or 5,000 kilometer Certified Warranty, 150+ Point ...","13,712 km",Automatic,Saskatoon,
https://www.kijiji.ca/v-cars-trucks/city-of-toronto/2016-tesla-model-s-70d-highwayautopilot-nav-airsuspension-allhea/m9105913,2016 Tesla Model S 70D|HIGHWAYAUTOPILOT|NAV|AIRSUSPENSION|ALLHEA,"$22,995","**FALL SPECIAL!** FEATURING : HIGHWAY AUTOPILOT, HEIGHT ADJUSTABLE SUSPENSION, HIGHLY EQUIPPED, VERY CLEAN! FINISHED IN RED ON MATCHING BLACK INTERIOR, STITCHED VEGAN LEATHER SEATS, ALL HEATED SEATS, ...","182,351 km",Automatic,North York,
,,"$38,998",,,,,
https://www.kijiji.ca/v-cars-trucks/grande-prairie/2024-gmc-hummer-ev-suv-edition-1-0-financing-up-to-60-months-oa/m8279483,2024 GMC HUMMER EV SUV EDITION 1 0% Financing up to 60 Months OA,"$145,032",Engine: 0L L/100Km City: 4.0 L/100Km Hwy: 4.9,501 km,Automatic,Grande Prairie,
https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2018-ford-focus-electric-seulement-83298-km-navigation-came/m9400381,2018 Ford Focus Electric //SEULEMENT 83298 km NAVIGATION // CAME,"$10,995","AUCUN FRAIS ADDITIONEL!! AVEC SEULEMENT 83298 KM, CUIR, NAVIGATION, CAMERA DE RECUL, SIEGES CHAUFFANTS ET BEAUCOUP PLUS !!! Chez FORD Ile-Perrot, tous nos véhicules sont inspectés. Nous payons LE ...","83,298 km",Automatic,Pincourt,
https://www.kijiji.ca/v-cars-trucks/edmonton/2020-tesla-model-3-standard-range-plus/1697996660,2020 tesla model 3 Standard Range Plus,"$34,600","Selling my tesla model 3 standard range plus. Basically the same with other model 3s but come with full body 3M protection include entire hood, bumper, fender, mirror, door and handles. Tires are ...","66,085 km",Automatic,Edmonton,
https://www.kijiji.ca/v-cars-trucks/tricities-pitt-maple/2024-kia-ev6-gtline-500km-range-electric-digital-dash/m8645447,2024 Kia EV6 GTLINE | 500KM Range | Electric | Digital Dash,"$60,788","Odometer is 4355 kilometers below market average! Red 2024 Kia EV6 GT-Line AWD 1-Speed Automatic Electric Motor | Electric Vehicle, | 500KM Range, | Digital Dashboard, | 10-Inch Touchscreen, | Apple ...","2,635 km",Automatic,Maple Ridge,
https://www.kijiji.ca/v-cars-trucks/saskatoon/2023-genesis-electrified-g80-prestige/m9146917,2023 Genesis Electrified G80 Prestige,"$66,421","Apple CarPlay and Android Auto, Audio system with 21 speakers, Wireless charging pad, Head-up display, Heated front seats, Heated rear seats, Remote start with climate control, Rapid charging ...","3,105 km",Automatic,Saskatoon,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-blazer-ev-rs/m7590828,2024 Chevrolet Blazer EV RS,"$61,097","The 2024 Chevrolet Blazer EV RS is an all-electric luxury SUV that offers advanced technology, impressive performance, and sleek styling. The exterior of the 2024 Blazer EV RS is characterized by ...",10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-blazer-ev-rs/m7590827,2024 Chevrolet Blazer EV RS,"$61,692","The 2024 Chevrolet Blazer EV RS is an all-electric luxury SUV that offers advanced technology, impressive performance, and sleek styling. The exterior of the 2024 Blazer EV RS is characterized by ...",19 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/ville-de-montreal/2021-mini-cooper-se-fwd-classique-semi-cuir-noir-carb/m9006896,2021 MINI Cooper SE FWD | Classique | Semi-cuir noir carb,"$22,969","- Classic Line - Carbon Black Semi Leather Le prix de vente indiqué comprend : les frais, la certification MINI, le transport et la préparation. Le prix affiché n'inclut pas les taxes applicables. / ...","52,708 km",Automatic,Montreal,
https://www.kijiji.ca/v-cars-trucks/tricities-pitt-maple/2022-audi-e-tron-gt-prempls-remote-park-top-view-cams-pre/m8180614,2022 Audi e-tron GT PREMPLS | Remote Park | Top View Cams | Pre,"$84,776","Window Grid Diversity Antenna, Wheels: 20 x 9J Fr & 20 x 11J Rr Platinum Finish -inc: 5 twin-spoke design, Wheels w/Locks, Valet Function, Trunk/Hatch Auto-Latch, Trip Computer, Transmission: 2-Speed ...","8,899 km",Automatic,Pitt Meadows,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-blazer-ev-2lt/m8367676,2024 Chevrolet Blazer EV 2LT,"$54,097","The 2024 Chevrolet Blazer EV 2LT is an all-electric luxury SUV that offers advanced technology, impressive performance, and sleek styling. The exterior of the 2024 Blazer EV 2LT is characterized by ...",10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/laurentides/2023-kia-niro-ev-limited-ici-pas-de-cachette/m8367669,2023 Kia Niro EV Limited ICI PAS DE CACHETTE,"$45,776","KIA NIRO EV 2023, LIMITED, PRIX INCLUANT LE RABAIS GOUVERNEMENTALE DE 12000$, AFFICHAGE TÊTE HAUTE (HUB), NAVIGATION (GPS), AUTONOMIE DE 407 KM, CUIR, TOIT OUVRANT, ANDROID AUTO/APPLE CARPLAY, KIA ...","3,621 km",Automatic,Mirabel,
https://www.kijiji.ca/v-cars-trucks/edmonton/2024-cadillac-lyriq-tech/m8367660,2024 Cadillac LYRIQ Tech,"$70,789","Introducing the 2024 Cadillac Lyriq Tech an all-electric SUV that's engineered for the tech-savvy driver. With its sleek and streamlined exterior, the Lyriq Tech stands out as a symbol of modern ...",8 km,,Edmonton,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-equinox-ev-rs/m8641513,2024 Chevrolet Equinox EV RS,"$56,967",2024 Chevrolet Equinox EV 3RS: Unleash Electric Excitement in Bold Black The 2024 Chevrolet Equinox EV 3RS in Black isn't your average electric SUV. It's a statement of electric power and thrilling ...,10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/city-of-toronto/31-month-lease-2023-bmw-i4-edrive35-4-series/1703903476,31 MONTH LEASE 2023 BMW i4 eDRIVE35 4 SERIES,Please Contact,"31 MONTH LEASE 2023 BMW i4 eDRIVE35 4 SERIES TOP OF THE LINE WITH ALL THE OPTIONS SPECIAL LEASE 2023 BMW i4 eDRIVE35 4 SERIES ELECTRIC SEDAN LESS THAN 17,500KM's ON THE BMW i4. IT ONLY COSTS $30 TO ...","17,999 km",Automatic,Toronto,
https://www.kijiji.ca/v-cars-trucks/ville-de-quebec/tesla-model-s-2015-superchargements-gratuit-illimites/1701308050,Tesla model S 2015 / superchargements gratuit illimités,"$29,995","Tesla model S 85D 2015 avec supercharge illimité gratuites transférables. 175000 km Bleu profond métallisé intérieur cuir Tan Alcantara, GPS évolué, toit panoramique ouvrant, AWD pilote automatique, ...","175,000 km",,Québec City,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-equinox-ev-rs/m8641551,2024 Chevrolet Equinox EV RS,"$52,002","2024 Chevrolet Equinox EV 2RS: Stealthy Power Unleashed The 2024 Chevrolet Equinox EV 2RS in Black isn't your average electric SUV. It's a dark horse, a wolf in sheep's clothing ready to dominate the ...",10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-equinox-ev-rs/m8641550,2024 Chevrolet Equinox EV RS,"$51,327","2024 Chevrolet Equinox EV 2RS: Electrified Stealthy Power The 2024 Chevrolet Equinox EV 2RS in Black isn't your average electric SUV. It's a dark force cloaked in mystery, ready to unleash a surge of ...",10 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/calgary/2024-chevrolet-equinox-ev-rs/m8641512,2024 Chevrolet Equinox EV RS,"$52,022","2024 Chevrolet Equinox EV 2RS: Radiate Confidence in Red The 2024 Chevrolet Equinox EV 2RS in Radiant Red isn't just an electric SUV, it's an electrifying statement. This head-turning design demands ...",11 km,,Calgary,
https://www.kijiji.ca/v-cars-trucks/calgary/2018-bmw-i3/m9546939,2018 BMW i3,"$19,999","At Xperts Auto Sales, we pride ourselves on providing outstanding service and communication to our customers in order to build a trusting relationship. We want to make sure you feel comfortable ...","48,988 km",Automatic,Calgary,
